Filename,RelFreq NOUN,RelFreq VERB,RelFreq ADJ,RelFreq ADV,No. Unique PER,No. Unique LOC,No. Unique ORG
0165.a5.txt,22.5,10.77,9.31,3.1,5,2,3
0106.a5.txt,21.83,10.01,9.48,7.03,2,0,0
0122.a5.txt,20.84,11.2,8.38,4.5,5,1,3
0130.a5.txt,20.85,11.06,8.73,3.59,14,9,2
1036.a5.txt,16.08,10.32,7.59,3.95,5,3,3
2007.a5.txt,17.62,9.59,8.03,6.22,5,13,3
2019.a5.txt,20.45,11.76,7.11,3.95,11,5,3
1055.a5.txt,20.75,11.01,11.32,5.24,3,4,2
0188.a5.txt,17.84,10.34,8.22,5.3,6,3,2
2015.a5.txt,20.16,10.12,8.23,3.7,5,10,5
1012.a5.txt,23.15,10.87,8.25,3.66,2,2,4
1112.a5.txt,22.34,10.91,11.76,5.88,3,1,1
2040.a5.txt,23.24,10.0,9.8,3.92,12,2,7
1100.a5.txt,17.04,12.05,6.4,3.67,4,6,1
0223.a5.txt,18.38,10.82,7.83,4.4,7,6,5
2066.a5.txt,23.74,12.03,8.81,3.22,8,3,0
0186.a5.txt,21.96,10.07,9.53,4.63,6,1,0
1057.a5.txt,15.53,12.57,6.65,3.97,5,3,3
1034.a5.txt,21.11,10.33,8.29,4.43,2,6,4
2005.a5.txt,21.11,12.02,6.57,3.84,5,9,1
0198.a5.txt,23.29,10.47,8.87,4.06,2,0,2
2050.a5.txt,18.97,9.77,7.42,5.16,6,6,12
1061.a5.txt,17.83,11.85,6.87,3.09,12,2,6
1102.a5.txt,22.75,10.48,7.68,3.39,3,8,2
0219.a5.txt,22.24,10.43,9.74,6.59,3,2,2
0215.a5.txt,20.05,10.34,6.27,3.09,10,8,3
1010.a5.txt,24.89,9.47,9.26,3.4,5,4,8
2021.a5.txt,20.07,10.45,9.81,3.98,4,6,1
0108.a5.txt,23.88,11.01,8.46,3.88,8,0,6
0104.a5.txt,22.28,9.84,6.94,4.35,4,7,2
1014.a5.txt,21.57,11.41,8.8,4.26,6,4,2
2058.a5.txt,18.15,10.78,7.66,4.44,9,3,7
1065.a5.txt,21.35,10.48,8.37,4.42,8,6,2
1018.a5.txt,22.78,9.75,9.65,3.09,3,3,1
1006.a5.txt,18.43,10.59,8.16,4.66,11,5,1
0182.a5.txt,25.72,11.78,8.09,4.68,6,4,4
0227.a5.txt,19.35,10.14,9.12,4.01,13,6,3
1041.a5.txt,20.1,9.9,8.44,5.31,14,6,5
1022.a5.txt,25.72,12.31,12.21,5.06,0,1,2
1088.a5.txt,15.63,12.29,9.73,3.34,7,3,3
0159.a5.txt,23.79,11.06,10.96,3.85,0,1,1
0128.a5.txt,21.49,11.6,9.36,5.32,1,8,2
0163.a5.txt,25.72,10.94,9.97,5.07,0,3,1
0112.a5.txt,23.76,12.39,7.51,6.19,2,3,3
0171.a5.txt,17.68,9.87,6.0,4.11,13,7,4
0157.a5.txt,19.8,11.1,7.2,6.6,3,2,1
0134.a5.txt,19.82,10.93,7.91,5.6,3,8,0
0149.a5.txt,27.81,12.9,9.5,4.1,1,4,4
1094.a5.txt,15.77,13.91,6.27,2.64,9,2,1
0161.a5.txt,24.95,8.83,10.93,3.1,2,3,3
0102.a5.txt,19.13,10.2,10.02,3.1,4,4,3
2035.a5.txt,21.59,9.69,7.84,5.44,2,1,2
2048.a5.txt,17.65,8.08,11.41,3.86,13,2,8
1104.a5.txt,20.18,10.93,6.5,5.41,7,13,5
1067.a5.txt,20.12,11.08,7.0,3.79,9,10,3
2039.a5.txt,14.93,11.25,8.7,5.39,8,6,9
1008.a5.txt,21.79,10.4,10.04,4.79,6,2,3
1043.a5.txt,16.73,11.45,7.77,5.98,7,5,2
0192.a5.txt,18.8,11.23,6.64,5.14,10,4,2
1032.a5.txt,24.47,12.37,7.44,6.23,0,1,1
1070.a5.txt,15.46,12.86,7.99,3.73,9,3,4
1013.a5.txt,20.27,10.68,7.64,3.23,2,6,4
1062.a5.txt,17.6,9.74,8.61,5.11,8,7,5
0185.a5.txt,20.02,9.96,8.14,2.49,3,11,3
0197.a5.txt,18.29,10.52,5.11,4.62,4,6,5
2014.a5.txt,24.8,10.08,9.2,5.43,6,2,2
0140.a5.txt,20.27,10.54,7.06,3.17,6,5,2
0107.a5.txt,21.52,11.75,8.65,5.83,2,3,4
0119.a5.txt,20.81,11.11,8.0,2.82,7,4,1
0115.a5.txt,15.74,11.95,8.76,5.48,4,2,2
